Frame: 18, ID: 3, BBox: [555, 217, 84, 166], Confidence: 0.89
Frame: 18, ID: 4, BBox: [136, 269, 104, 114], Confidence: 0.53
Frame: 18, ID: 8, BBox: [136, 303, 104, 80], Confidence: 0.51
Frame: 19, ID: 1, BBox: [196, 214, 207, 169], Confidence: 0.92
Frame: 19, ID: 2, BBox: [315, 49, 182, 334], Confidence: 0.92
Frame: 19, ID: 3, BBox: [555, 217, 84, 166], Confidence: 0.89
Frame: 19, ID: 4, BBox: [134, 266, 106, 117], Confidence: 0.42
Frame: 19, ID: 8, BBox: [119, 302, 121, 81], Confidence: 0.38
Frame: 20, ID: 1, BBox: [196, 214, 207, 169], Confidence: 0.92
Frame: 20, ID: 2, BBox: [316, 50, 181, 333], Confidence: 0.92
Frame: 20, ID: 3, BBox: [555, 217, 84, 166], Confidence: 0.89
Frame: 20, ID: 4, BBox: [139, 268, 101, 115], Confidence: 0.44
Frame: 20, ID: 8, BBox: [134, 302, 107, 81], Confidence: 0.41
Frame: 21, ID: 1, BBox: [197, 213, 207, 170], Confidence: 0.92
Frame: 21, ID: 2, BBox: [316, 50, 181, 333], Confidence: 0.92
Frame: 21, ID: 3, BBox: [555, 218, 84, 165], Confidence: 0.88
Frame: 21, ID: 4, BBox: [139, 300, 101, 83], Confidence: 0.55
Frame: 21, ID: 8, BBox: [141, 265, 99, 118], Confidence: 0.42
Frame: 21, ID: 9, BBox: [164, 263, 40, 46], Confidence: 0.26
Frame: 22, ID: 1, BBox: [316, 50, 181, 333], Confidence: 0.92
Frame: 22, ID: 2, BBox: [197, 213, 207, 170], Confidence: 0.91
Frame: 22, ID: 3, BBox: [555, 217, 84, 166], Confidence: 0.88
Frame: 22, ID: 4, BBox: [140, 268, 100, 115], Confidence: 0.47
Frame: 22, ID: 8, BBox: [130, 299, 109, 84], Confidence: 0.33
Frame: 23, ID: 1, BBox: [316, 50, 182, 333], Confidence: 0.92
Frame: 23, ID: 2, BBox: [197, 213, 207, 170], Confidence: 0.91
Frame: 23, ID: 3, BBox: [556, 218, 83, 165], Confidence: 0.88
Frame: 23, ID: 4, BBox: [140, 290, 101, 93], Confidence: 0.41
Frame: 24, ID: 1, BBox: [317, 50, 180, 333], Confidence: 0.92
Frame: 24, ID: 2, BBox: [198, 213, 206, 170], Confidence: 0.91
Frame: 24, ID: 3, BBox: [555, 217, 84, 166], Confidence: 0.89
Frame: 24, ID: 4, BBox: [140, 296, 100, 87], Confidence: 0.46
Frame: 24, ID: 8, BBox: [143, 261, 97, 122], Confidence: 0.37
Frame: 25, ID: 1, BBox: [317, 50, 181, 333], Confidence: 0.92
Frame: 25, ID: 2, BBox: [198, 213, 206, 170], Confidence: 0.91
Frame: 25, ID: 3, BBox: [555, 217, 84, 166], Confidence: 0.89
Frame: 25, ID: 4, BBox: [136, 296, 104, 87], Confidence: 0.49
Frame: 26, ID: 1, BBox: [317, 50, 181, 333], Confidence: 0.92
Frame: 26, ID: 2, BBox: [198, 213, 206, 170], Confidence: 0.91
Frame: 26, ID: 3, BBox: [556, 217, 83, 166], Confidence: 0.89
Frame: 26, ID: 4, BBox: [136, 296, 104, 87], Confidence: 0.52
Frame: 27, ID: 1, BBox: [317, 50, 181, 333], Confidence: 0.92
Frame: 27, ID: 2, BBox: [198, 213, 206, 170], Confidence: 0.91
Frame: 27, ID: 3, BBox: [555, 218, 84, 165], Confidence: 0.89
Frame: 27, ID: 4, BBox: [138, 295, 101, 88], Confidence: 0.51
Frame: 28, ID: 1, BBox: [317, 51, 181, 332], Confidence: 0.92
Frame: 28, ID: 2, BBox: [198, 214, 206, 169], Confidence: 0.91
Frame: 28, ID: 3, BBox: [556, 218, 83, 165], Confidence: 0.90
Frame: 28, ID: 4, BBox: [137, 295, 103, 88], Confidence: 0.49
Frame: 29, ID: 1, BBox: [317, 51, 180, 332], Confidence: 0.92
Frame: 29, ID: 2, BBox: [199, 214, 205, 169], Confidence: 0.91
Frame: 29, ID: 3, BBox: [556, 218, 83, 165], Confidence: 0.90
Frame: 29, ID: 4, BBox: [132, 295, 107, 88], Confidence: 0.47
Frame: 30, ID: 1, BBox: [317, 51, 180, 332], Confidence: 0.92
Frame: 30, ID: 2, BBox: [200, 213, 204, 170], Confidence: 0.92
Frame: 30, ID: 3, BBox: [555, 218, 84, 165], Confidence: 0.90
Frame: 30, ID: 4, BBox: [113, 293, 127, 90], Confidence: 0.44
Frame: 31, ID: 1, BBox: [317, 51, 180, 332], Confidence: 0.92
Frame: 31, ID: 2, BBox: [200, 213, 204, 170], Confidence: 0.92
Frame: 31, ID: 3, BBox: [555, 218, 84, 165], Confidence: 0.89
Frame: 31, ID: 4, BBox: [114, 291, 127, 92], Confidence: 0.42
Frame: 31, ID: 8, BBox: [113, 292, 189, 91], Confidence: 0.40
Frame: 32, ID: 1, BBox: [317, 51, 181, 332], Confidence: 0.92
Frame: 32, ID: 2, BBox: [200, 213, 204, 170], Confidence: 0.91
Frame: 32, ID: 3, BBox: [555, 218, 84, 165], Confidence: 0.90
Frame: 32, ID: 4, BBox: [116, 291, 186, 92], Confidence: 0.46
Frame: 32, ID: 8, BBox: [117, 290, 123, 93], Confidence: 0.44
Frame: 33, ID: 1, BBox: [317, 51, 180, 332], Confidence: 0.92
Frame: 33, ID: 2, BBox: [200, 213, 204, 170], Confidence: 0.92
Frame: 33, ID: 3, BBox: [555, 218, 84, 165], Confidence: 0.90
Frame: 33, ID: 4, BBox: [111, 291, 191, 92], Confidence: 0.43
Frame: 33, ID: 8, BBox: [112, 289, 126, 94], Confidence: 0.41
Frame: 33, ID: 10, BBox: [166, 252, 41, 48], Confidence: 0.26
Frame: 34, ID: 1, BBox: [317, 51, 180, 332], Confidence: 0.92
Frame: 34, ID: 2, BBox: [199, 213, 204, 170], Confidence: 0.91
